firmware_size,done,not_done,missing,attempts,duration_sec,0235.vcc,0237.vcc,0241.vcc,0242.vcc,0235.ReadRate,0237.ReadRate,0241.ReadRate,0242.ReadRate,0235.peak_rssi,0237.peak_rssi,0241.peak_rssi,0242.peak_rssi
1280,3,1,0,10,45.0552942,3554,3542,3570,3608,135.696971492836,2.76932594883338,2.76932594883338,44.3092151813341,-20,-21,-18,-17
1280,0,1,3,10,34.1313405,3554,3534,3398,3546,9.30934872727239,83.7841385454515,2.3273371818181,11.6366859090905,-18,-20,-17,-19
1280,0,1,3,10,46.6466583,3432,0,3546,3604,68.0225969095264,0,44.362563201865,119.286003276126,-22,0,-19,-18
1280,1,0,3,4,30.7870397,3550,3406,3562,3612,17.7459589916239,76.0541099641025,1.26756849940171,96.3352059545298,-21,-20,-17,-16
1280,1,0,3,3,17.9249534,3538,3502,3518,3592,56.6061963525946,101.295298736222,2.97927349224182,11.9170939689673,-21,-20,-17,-16
1280,4,0,0,1,15.011611,3530,3538,3570,3616,60.2510056897033,28.6909550903349,1.43454775451675,41.6018848809856,-21,-21,-17,-17
1280,4,0,0,1,13.5246676,3530,3500,3574,3620,50.1730132741069,73.1689776914059,2.09054221975445,22.995964417299,-21,-21,-18,-18
1280,1,0,3,7,52.3210387,3534,3538,3522,3596,51.8884139657666,21.6201724857361,2.16201724857361,38.916310474325,-20,-20,-19,-19
1280,4,0,0,1,15.5555985,3522,3522,3546,3608,49.6877950212829,28.9845470957484,2.07032479255346,43.4768206436226,-23,-21,-17,-16
1280,4,0,0,1,13.6511523,3534,3522,3570,3616,78.4112365831418,2.52939472848845,2.52939472848845,32.8821314703498,-20,-20,-17,-17
1280,4,0,0,1,16.8775261,3514,3526,3558,3616,28.6489065483687,17.6300963374577,2.20376204218221,22.0376204218221,-21,-22,-17,-17
1280,4,0,0,1,13.4584627,3522,3534,3550,3616,39.654095437211,13.2180318124037,1.88829025891481,94.4145129457404,-19,-19,-19,-18
1280,1,0,3,2,16.5954495,3522,3484,3604,3612,39.7685957188801,48.9459639616986,1.52956137380308,120.835348530443,-20,-20,-18,-18
1280,1,0,3,4,27.4652435,3526,3518,3578,3620,34.9724812588915,69.9449625177831,1.84065690836271,58.9010210676068,-19,-20,-17,-18
1280,4,0,0,1,16.7420682,3526,3530,3476,3558,18.2464390119293,91.2321950596463,2.60663414456132,26.0663414456132,-21,-20,-17,-17
1280,4,0,0,1,15.4899892,3534,3534,3596,3584,40.6142911536997,101.535727884249,2.03071455768499,91.3821550958243,-19,-20,-18,-18
1280,4,0,0,1,16.5545021,3530,3526,3488,3596,8.77471425691442,105.296571082973,2.1936785642286,39.4862141561149,-20,-21,-17,-17
1280,4,0,0,1,16.0178549,3518,3534,3570,3612,39.2072117283992,2.30630657225878,2.30630657225878,11.5315328612939,-23,-21,-16,-17
1280,4,0,0,1,17.4468737,3530,3526,3510,3562,71.2745515772724,28.9552865782669,2.22732973678976,44.5465947357953,-21,-20,-17,-17
1280,3,0,1,1,15.3628831,3522,3522,0,3608,48.5885328682584,44.62212202187,0,75.3618060813804,-20,-20,0,-19
1280,0,1,3,10,60.8598241,3518,3496,3574,3616,85.8815651576929,78.0741501433572,2.60247167144524,10.409886685781,-20,-21,-17,-17
1280,1,0,3,3,24.4940548,0,3538,3574,3624,0,114.603340549063,34.5785941311827,168.941131326635,0,-19,-18,-18
1280,1,0,3,5,29.23131,3538,3506,3584,3620,32.4045523909325,129.61820956373,2.49265787622558,39.8825260196092,-20,-20,-18,-18
1280,4,0,0,1,13.8176196,3522,3538,3570,3616,86.8874334907006,24.2476558578699,2.02063798815583,48.4953117157399,-21,-20,-17,-17
1280,1,0,3,4,25.2776671,3530,3510,3566,3616,12.682430420382,55.8026938496807,2.5364860840764,96.3864711949031,-19,-19,-18,-18
1280,4,0,0,1,17.3361635,3518,3534,3510,3624,87.0365124386574,2.07229791520613,6.21689374561839,16.578383321649,-23,-22,-17,-17
1280,4,0,0,1,14.7215514,3522,3534,3562,3596,13.8801511409658,27.7603022819316,1.73501889262072,67.6657368122082,-19,-20,-17,-17
1280,4,0,0,1,12.9506906,3530,3510,3526,3604,34.5532694180119,125.872624308472,2.46809067271513,9.87236269086054,-19,-21,-18,-18
1280,4,0,0,1,15.9961096,3506,3506,3574,3624,119.541721702931,160.264725799534,1.3136452934388,119.541721702931,-19,-21,-18,-18
1280,4,0,0,1,15.8989171,3530,3534,3584,3578,31.2035290299804,2.22882350214145,4.45764700428291,26.7458820256974,-20,-20,-18,-18
1280,4,0,0,1,15.6061948,3510,3534,3584,3620,38.0405241477021,2.11336245265011,2.11336245265011,4.22672490530023,-20,-21,-17,-18
1280,4,0,0,1,13.803092,3484,3526,3518,3596,5.43599979995521,8.15399969993281,2.7179998999776,16.3079993998656,-21,-20,-17,-17
1280,1,0,3,2,27.109358,3526,3526,3554,3612,56.8257155304681,37.8838103536454,1.35299322691591,51.4137426228044,-22,-20,-17,-17
1280,4,0,0,1,15.7933093,3514,3530,3570,3620,22.7412549507378,9.36404615618614,1.33772087945516,69.5614857316685,-22,-21,-17,-18
1280,4,0,0,1,15.8333659,3502,3526,3522,3592,5.49931134873635,2.74965567436818,16.4979340462091,41.2448351155227,-21,-20,-18,-17
1280,4,0,0,1,13.348761,3522,3534,3562,3616,30.4916428940751,32.669617386509,2.17797449243393,34.8475918789429,-21,-23,-16,-17
1280,4,0,0,1,16.5691339,3534,3538,3584,3624,51.0913459852536,4.64466781684124,2.32233390842062,41.8020103515712,-20,-21,-18,-18
1280,4,0,0,1,15.5445255,3518,3530,3526,3604,19.1557731509491,41.5041751603897,1.06420961949717,74.494673364802,-20,-20,-17,-17
1280,4,0,0,1,13.3213739,3514,3522,3132,3636,7.13846358848185,2.37948786282728,4.75897572565457,35.6923179424093,-20,-21,-18,-17
1280,1,0,3,2,20.4620465,3530,3538,3600,3628,57.9026502042999,2.75726905734761,2.75726905734761,46.8735739749094,-21,-20,-17,-17
1280,4,0,0,1,19.2298466,3538,3526,3506,3558,16.7176229100533,22.2901638800711,2.78627048500889,64.0842211552045,-21,-20,-17,-17
1280,4,0,0,1,14.8396228,3562,3562,3562,3588,16.2245038681921,10.8163359121281,2.70408397803202,59.4898475167045,-19,-19,-17,-17
1280,4,0,0,1,15.4980315,3526,3530,3534,3570,45.7952390637811,23.6871926191971,1.57914617461314,161.07290981054,-21,-20,-17,-17
1280,4,0,0,1,14.3886206,3522,3484,3574,3624,12.878845321365,101.42090690575,1.60985566517063,91.7617729147258,-21,-19,-18,-17
1280,4,0,0,1,16.2483306,3480,3526,3530,3608,4.0096402443849,29.4040284588226,1.3365467481283,97.5679126133659,-20,-22,-17,-17
1280,2,0,2,3,36.9441102,3526,3506,3554,3612,43.995375747583,84.6064918222749,3.384259672891,23.689817710237,-19,-19,-18,-18
1280,4,0,0,1,14.8960681,3530,3546,3612,3624,48.5461791307575,2.11070344046772,2.11070344046772,2.11070344046772,-21,-21,-17,-16
1280,4,0,0,1,13.8170651,3500,3538,3592,3628,55.3919116227086,2.51781416466857,2.51781416466857,30.2137699760229,-21,-21,-17,-17
1280,4,0,0,1,16.814275,3518,3530,3480,3566,44.7800042354421,20.5241686079109,1.86583350981009,123.145011647466,-22,-22,-18,-18
1280,4,0,0,1,13.1019909,3518,3566,3566,3584,9.37069460508028,18.7413892101606,2.34267365127007,14.0560419076204,-20,-21,-19,-17
1280,4,0,0,1,13.7449016,3526,3500,3608,3600,14.1020319617854,29.7709563637691,1.56689244019837,203.696017225789,-21,-21,-19,-17
1280,4,0,0,1,16.1188581,3518,3518,3116,3624,42.5515618550779,3.03939727536271,3.03939727536271,39.5121645797152,-19,-19,-18,-18
1280,4,0,0,1,17.0811687,3518,3526,3538,3608,33.8389721750592,6.34480728282359,2.1149357609412,10.574678804706,-19,-20,-17,-18
1280,4,0,0,1,14.3675051,3522,3530,3518,3596,41.1990752325471,6.50511714198112,2.16837238066037,19.5153514259434,-20,-20,-18,-18
1280,4,0,0,1,17.4173794,3518,3522,3546,3604,57.0915986743788,2.28366394697515,2.28366394697515,11.4183197348758,-20,-21,-17,-18
1280,1,0,3,2,18.1007576,3522,3534,3570,3616,69.6314089595675,99.7422885096507,1.8819299718802,146.790537806656,-23,-21,-17,-17
1280,4,0,0,1,15.992125,3514,3522,3538,3608,32.319255640141,15.0823192987325,2.15461704267607,43.0923408535214,-19,-20,-17,-18
1280,4,0,0,2,30.2654761,3526,3534,3530,3600,112.352936722582,2.44245514614308,2.44245514614308,36.6368271921462,-20,-19,-17,-18
1280,0,1,3,10,51.6628823,3530,3526,3562,3620,28.4022250819533,50.3493990089173,1.29101023099788,103.28081847983,-19,-19,-19,-18
1280,1,0,3,3,27.4331395,0,3530,3588,3620,0,45.0194670047433,17.6163131757691,82.2094614869225,0,-22,-18,-17
1280,4,0,0,1,17.4879598,3510,3534,3584,3588,29.5780980099856,20.7046686069899,1.47890490049928,100.565533233951,-19,-19,-18,-18
1280,1,0,3,6,38.0822686,3518,3488,3566,3608,46.6103852240776,78.8791134561314,3.58541424800597,3.58541424800597,-20,-21,-17,-17
1280,1,0,3,2,23.0202112,3518,3502,3510,3616,38.0092373964824,66.8041142119994,1.15179507262068,101.35796639062,-21,-21,-17,-17
1280,1,0,3,5,44.2462452,3530,3526,3584,3566,61.3605326527368,97.4549636249348,1.8047215486099,153.401331631842,-20,-20,-17,-17
1280,1,0,3,6,40.5219306,3526,3506,3550,3620,2.49966941871937,94.9874379113362,2.49966941871937,72.4904131428619,-21,-22,-17,-17
1280,4,0,0,1,14.0360543,3514,3534,3570,3616,62.6191806361891,2.72257307113866,2.72257307113866,13.6128653556933,-22,-22,-17,-17
1280,4,0,0,1,14.0614976,3522,3534,3574,3620,56.1447757825988,2.15941445317688,2.15941445317688,10.7970722658844,-21,-22,-16,-17
1280,4,0,0,1,16.0277047,3526,3526,3566,3616,52.0639762139717,20.024606236143,2.0024606236143,64.0787399556575,-21,-22,-17,-17
1280,4,0,0,1,14.4441512,3522,3526,3522,3596,43.7040015383809,5.82720020511745,2.91360010255872,43.7040015383809,-19,-20,-18,-18
1280,4,0,0,1,13.5825035,3522,3518,3574,3612,25.1774379942646,18.8830784956984,2.09811983285538,46.1586363228184,-21,-21,-17,-17
1280,1,0,3,3,22.6551014,3530,3514,3604,3604,37.9901861851537,2.37438663657211,2.37438663657211,159.083904650331,-21,-20,-17,-16
1280,3,0,0,1,16.5155604,3530,3530,3518,3588,66.2040298621267,38.809258884695,2.28289758145264,54.7895419548635,-21,-21,-17,-17
1280,4,0,0,1,15.7891464,3496,3542,3592,3620,53.6639029756634,2.33321317285493,4.66642634570986,2.33321317285493,-21,-21,-17,-17
1280,4,0,0,1,15.661017,3518,3542,3542,3604,68.11904732416,12.3852813316654,2.06421355527757,43.3484846608291,-22,-20,-17,-16
1280,4,0,0,2,28.7860857,3502,3534,3612,3608,17.3116192868256,9.89235387818605,2.47308846954651,190.427812155081,-21,-20,-17,-17
1280,4,0,0,1,16.2798802,3518,3500,3468,3592,23.614800103669,55.1012002418943,1.96790000863908,9.83950004319541,-19,-20,-18,-18
1280,4,0,0,1,13.957325,3514,3530,3538,3596,45.5690104689377,17.3596230357858,2.16995287947322,26.0394345536787,-20,-20,-19,-18
1280,0,1,3,10,60.3605665,3526,3518,3526,3566,11.1430669508892,2.78576673772229,5.57153347544458,27.8576673772229,-20,-20,-17,-17
1280,3,0,1,1,15.6236383,0,3522,3510,3562,0,103.826963940895,25.466991155314,146.924948972965,0,-20,-17,-17
1280,1,0,3,4,25.8560718,3530,3522,3578,3582,122.622996243434,2.15128063584971,8.60512254339886,51.6307352603932,-20,-19,-17,-18
1280,4,0,0,1,15.1657077,3510,3514,3562,3612,41.5306997701414,12.4592099310424,1.38435665900471,52.6055530421791,-22,-21,-17,-17
1280,4,0,0,1,13.8777836,3514,3518,3542,3604,36.0421404706383,6.36037773011264,2.12012591003755,33.9220145606007,-19,-20,-17,-18
1280,4,0,0,1,15.9396463,3514,3522,3534,3596,69.9750502117022,34.9875251058511,1.84144868978164,53.4020120036674,-19,-20,-18,-18
1280,4,0,0,1,14.4520032,3522,3530,3582,3616,50.6438042977548,10.128760859551,2.02575217191019,28.3605304067427,-20,-19,-17,-17
1280,3,0,1,1,12.8594804,3518,3522,0,3608,42.4561452703163,39.4940886235501,0,189.57162539304,-20,-20,0,-17
1280,1,0,3,4,30.9591158,3530,3522,3522,3600,24.9660915084422,6.80893404775696,2.26964468258565,31.7750255561991,-19,-20,-18,-19
1280,4,0,0,1,14.1969705,3534,3534,3558,3624,2.79413354896593,2.79413354896593,30.7354690386253,106.177074860705,-20,-21,-17,-17
1280,4,0,0,1,14.6006908,3526,3530,3574,3558,52.6837312198962,2.19515546749567,2.19515546749567,10.9757773374784,-21,-21,-17,-17
1280,1,0,3,7,41.9777479,3526,3522,3570,3596,63.9984218742088,143.055295954114,1.88230652571202,408.460516079509,-19,-20,-18,-18
1280,4,0,0,2,30.4126118,3546,3546,3616,3616,9.37748679227873,18.7549735845575,1.87549735845575,71.2688996213183,-20,-20,-17,-18
1280,1,0,3,2,17.9400524,3538,3530,3596,3624,57.5185353480159,2.73897787371504,2.73897787371504,30.1287566108655,-20,-21,-17,-17
1280,1,0,3,9,52.131922,3522,3502,3584,3612,45.672762648358,62.8000486414922,1.90303177701492,97.0546206277607,-21,-21,-17,-17
1280,4,0,0,1,15.7119736,3530,3538,3570,3620,105.479908766084,45.5011371147812,2.06823350521733,82.729340208693,-21,-20,-17,-17
1280,4,0,0,2,29.7775789,3502,3518,3518,3538,51.4381131985698,15.0027830162495,2.14325471660707,23.5758018826778,-19,-20,-17,-18
1280,4,0,0,1,13.0003556,3534,3522,3584,3612,46.0958878277522,29.3337467994787,2.09526762853419,44.000620199218,-19,-20,-17,-17
1280,4,0,0,1,13.8932535,3518,3522,3574,3620,94.8118932038835,6.46444726390115,2.15481575463372,120.669682259488,-22,-21,-16,-16
1280,4,0,0,1,14.8952816,3522,3526,3554,3600,48.4475110437255,2.3070243354155,2.3070243354155,4.614048670831,-19,-20,-17,-18
1280,4,0,0,1,13.765,3510,3522,3530,3596,35.828158936784,2.55915420977029,2.55915420977029,5.11830841954058,-19,-20,-18,-19
1280,1,0,3,3,25.2412964,3514,3500,3608,3616,54.4766471516025,57.34383910695,2.8671919553475,45.87507128556,-21,-21,-16,-16
1280,1,0,3,2,19.3800459,3514,3506,3574,3600,105.088300444448,142.619836317466,1.87657679365087,437.242392920652,-20,-21,-17,-17
